Shares,Percent of Outstanding Shares,Registration,Email,Date of Birth / Organization,Address,Address Extra,City,State,Postal Code,Country,Onboarded Date,Issue Date of Security,Cancellation Date of Security,Dividends,Restricted Shares Notes
2000,2.000198019741571439667380746E-7,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/3/1978,368 Georgia Tech Sta,595 Ferst Dr,Atlanta,GA,30577,USA,9/2/2000,1/1/2018,,,RESTRICTED MARK: Vested until 2022
2000,2.000198019741571439667380746E-7,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/4/1978,369 Georgia Tech Sta,596 Ferst Dr,Atlanta,GA,30578,USA,9/3/2000,1/2/2018,,,RESTRICTED MARK: Vested until 2023
2000,2.000198019741571439667380746E-7,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/5/1978,370 Georgia Tech Sta,597 Ferst Dr,Atlanta,GA,30579,USA,9/4/2000,1/3/2018,,,RESTRICTED MARK: Vested until 2024
2000,2.000198019741571439667380746E-7,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/6/1978,371 Georgia Tech Sta,598 Ferst Dr,Atlanta,GA,30580,USA,9/5/2000,1/4/2018,,,RESTRICTED MARK: Vested until 2025
2000,2.000198019741571439667380746E-7,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/7/1978,372 Georgia Tech Sta,599 Ferst Dr,Atlanta,GA,30581,USA,9/6/2000,1/5/2018,,,RESTRICTED MARK: Vested until 2026
6944743984.6012461,0.6945431582805801374466802118,Cede & Co.,real_email_for_shareholder_communication@gmx.com,1/1/1978,123 Georgia Tech Sta,350 Ferst Dr,Atlanta,GA,30332,USA,1/1/2000,,,,
758330045.4723602,0.07584051276321753474292061300,Hillhouse Capital Advisors Ltd.,real_email_for_shareholder_communication@gmx.com,1/2/1978,124 Georgia Tech Sta,351 Ferst Dr,Atlanta,GA,30333,USA,1/2/2000,,,,
140000049.9673779,0.01400139113542351644060968851,Morgan Stanley,real_email_for_shareholder_communication@gmx.com,1/3/1978,125 Georgia Tech Sta,352 Ferst Dr,Atlanta,GA,30334,USA,1/3/2000,,,,
253939120.9173720,0.02539642633969214682863163171,Credit Suisse Ag,real_email_for_shareholder_communication@gmx.com,1/4/1978,126 Georgia Tech Sta,353 Ferst Dr,Atlanta,GA,30335,USA,1/4/2000,,,,
35634902.4092340,0.003563843061631699999473413602,"Goldman Sachs Group, Inc.",real_email_for_shareholder_communication@gmx.com,1/5/1978,127 Georgia Tech Sta,354 Ferst Dr,Atlanta,GA,30336,USA,1/5/2000,,,,
