Shares|Percent of Outstanding Shares|Registration|Email|Date of Birth  Organization|Address|Address Extra|City|State|Postal Code|Country|Onboarded Date|Issue Date of Security|Cancellation Date of Security|Dividends|Restricted Shares Notes
2000|2.00E-07|Mark Mayers|real_email_for_shareholder_communication@gmx.com|931978|368 Georgia Tech Sta|595 Ferst Dr|Atlanta|GA|30577|USA|922000|112018|||RESTRICTED MARK Vested until 2022
2000|2.00E-07|Mark Mayers|real_email_for_shareholder_communication@gmx.com|941978|369 Georgia Tech Sta|596 Ferst Dr|Atlanta|GA|30578|USA|932000|122018|||RESTRICTED MARK Vested until 2023
2000|2.00E-07|Mark Mayers|real_email_for_shareholder_communication@gmx.com|951978|370 Georgia Tech Sta|597 Ferst Dr|Atlanta|GA|30579|USA|942000|132018|||RESTRICTED MARK Vested until 2024
2000|2.00E-07|Mark Mayers|real_email_for_shareholder_communication@gmx.com|961978|371 Georgia Tech Sta|598 Ferst Dr|Atlanta|GA|30580|USA|952000|142018|||RESTRICTED MARK Vested until 2025
2000|2.00E-07|Mark Mayers|real_email_for_shareholder_communication@gmx.com|971978|372 Georgia Tech Sta|599 Ferst Dr|Atlanta|GA|30581|USA|962000|152018|||RESTRICTED MARK Vested until 2026
6944743985|0.694473704|Cede & Co.|real_email_for_shareholder_communication@gmx.com|111978|123 Georgia Tech Sta|350 Ferst Dr|Atlanta|GA|30332|USA|112000||||
770235095|0.077023432|Hillhouse Capital Advisors Ltd.|real_email_for_shareholder_communication@gmx.com|121978|124 Georgia Tech Sta|351 Ferst Dr|Atlanta|GA|30333|USA|122000||||
140000050|0.013999991|Morgan Stanley|real_email_for_shareholder_communication@gmx.com|131978|125 Georgia Tech Sta|352 Ferst Dr|Atlanta|GA|30334|USA|132000||||
253939120.9|0.025393887|Credit Suisse Ag|real_email_for_shareholder_communication@gmx.com|141978|126 Georgia Tech Sta|353 Ferst Dr|Atlanta|GA|30335|USA|142000||||
107433962.8|0.010743386|Goldman Sachs Group, Inc.|real_email_for_shareholder_communication@gmx.com|151978|127 Georgia Tech Sta|354 Ferst Dr|Atlanta|GA|30336|USA|152000||||
100910000|0.01009099|UBS Group AG|real_email_for_shareholder_communication@gmx.com|161978|128 Georgia Tech Sta|355 Ferst Dr|Atlanta|GA|30337|USA|162000||||
30000000|0.002999997|Nomura Holdings Inc.|real_email_for_shareholder_communication@gmx.com|171978|129 Georgia Tech Sta|356 Ferst Dr|Atlanta|GA|30338|USA|172000||||
87319314.75|0.008731923|Blackrock Inc.|real_email_for_shareholder_communication@gmx.com|181978|130 Georgia Tech Sta|357 Ferst Dr|Atlanta|GA|30339|USA|182000||||
75800304.72|0.007580023|Vanguard Group, Inc. (The)|real_email_for_shareholder_communication@gmx.com|191978|131 Georgia Tech Sta|358 Ferst Dr|Atlanta|GA|30340|USA|192000||||
71794871.79|0.00717948|Canada Pension Plan Investment Board|real_email_for_shareholder_communication@gmx.com|1101978|132 Georgia Tech Sta|359 Ferst Dr|Atlanta|GA|30341|USA|1102000||||
71672988.12|0.007167292|Bank of America Corporation|real_email_for_shareholder_communication@gmx.com|1111978|133 Georgia Tech Sta|360 Ferst Dr|Atlanta|GA|30342|USA|1112000||||
69000000|0.006899993|Vanguard International Stock Index-Total Intl Stock Indx|real_email_for_shareholder_communication@gmx.com|1121978|134 Georgia Tech Sta|361 Ferst Dr|Atlanta|GA|30343|USA|1122000||||
0.0001383|1.38E-14|Vanguard International Stock Index-Emerging Markets Stk|real_email_for_shareholder_communication@gmx.com|1131978|135 Georgia Tech Sta|362 Ferst Dr|Atlanta|GA|30344|USA|1132000||||
59317211.9|0.005931715|KraneShares CSI China Internet ETF|real_email_for_shareholder_communication@gmx.com|1141978|136 Georgia Tech Sta|363 Ferst Dr|Atlanta|GA|30345|USA|1142000||||
55000000|0.005499995|iShares Core MSCI Emerging Markets ETF|real_email_for_shareholder_communication@gmx.com|1151978|137 Georgia Tech Sta|364 Ferst Dr|Atlanta|GA|30346|USA|1152000||||
50000000|0.004999995|iShares MSCI Emerging Markets ETF|real_email_for_shareholder_communication@gmx.com|1161978|138 Georgia Tech Sta|365 Ferst Dr|Atlanta|GA|30347|USA|1162000||||
45250100|0.004525005|Delaware Group Global & International Funds-Emerging Markets Fd|real_email_for_shareholder_communication@gmx.com|1171978|139 Georgia Tech Sta|366 Ferst Dr|Atlanta|GA|30348|USA|1172000||||
43000000|0.004299996|iShares MSCI China ETF|real_email_for_shareholder_communication@gmx.com|1181978|140 Georgia Tech Sta|367 Ferst Dr|Atlanta|GA|30349|USA|1182000||||
24754755.27|0.002475473|Amplify Online Retail ETF|real_email_for_shareholder_communication@gmx.com|1191978|141 Georgia Tech Sta|368 Ferst Dr|Atlanta|GA|30350|USA|1192000||||
34995692.49|0.003499566|Vanguard Intl Equity Index Fds-FTSE All World ex U.S. Index Fund|real_email_for_shareholder_communication@gmx.com|1201978|142 Georgia Tech Sta|369 Ferst Dr|Atlanta|GA|30351|USA|1202000||||
50470761.59|0.005047071|Wells Fargo Emerging Markets Equity Fd|real_email_for_shareholder_communication@gmx.com|1211978|143 Georgia Tech Sta|370 Ferst Dr|Atlanta|GA|30352|USA|1212000||||
300000|3.00E-05|Brokerage 1|real_email_for_shareholder_communication@gmx.com|1221978|144 Georgia Tech Sta|371 Ferst Dr|Atlanta|GA|30353|USA|1222000||||
28266300.99|0.002826627|Brokerage 2|real_email_for_shareholder_communication@gmx.com|1231978|145 Georgia Tech Sta|372 Ferst Dr|Atlanta|GA|30354|USA|1232000||||
25000000|0.002499998|Brokerage 3|real_email_for_shareholder_communication@gmx.com|1241978|146 Georgia Tech Sta|373 Ferst Dr|Atlanta|GA|30355|USA|1242000||||
24540040.24|0.002454002|Brokerage 4|real_email_for_shareholder_communication@gmx.com|1251978|147 Georgia Tech Sta|374 Ferst Dr|Atlanta|GA|30356|USA|1252000||||
23500000|0.002349998|Brokerage 5|real_email_for_shareholder_communication@gmx.com|1261978|148 Georgia Tech Sta|375 Ferst Dr|Atlanta|GA|30357|USA|1262000||||
22807240.16|0.002280722|Brokerage 6|real_email_for_shareholder_communication@gmx.com|1271978|149 Georgia Tech Sta|376 Ferst Dr|Atlanta|GA|30358|USA|1272000||||
22727272.73|0.002272725|HFT 7|real_email_for_shareholder_communication@gmx.com|1281978|150 Georgia Tech Sta|377 Ferst Dr|Atlanta|GA|30359|USA|1282000||||
21000000|0.002099998|Hedge Fund 8|real_email_for_shareholder_communication@gmx.com|1291978|151 Georgia Tech Sta|378 Ferst Dr|Atlanta|GA|30360|USA|1292000||||
20555555.1|0.002055553|Institution 9|real_email_for_shareholder_communication@gmx.com|1301978|152 Georgia Tech Sta|379 Ferst Dr|Atlanta|GA|30361|USA|1302000||||
19999999.99|0.001999998|Institution 10|real_email_for_shareholder_communication@gmx.com|1311978|153 Georgia Tech Sta|380 Ferst Dr|Atlanta|GA|30362|USA|1312000||||
19687500|0.001968748|Institution 11|real_email_for_shareholder_communication@gmx.com|211978|154 Georgia Tech Sta|381 Ferst Dr|Atlanta|GA|30363|USA|212000||||
17044265.59|0.001704425|Institution 12|real_email_for_shareholder_communication@gmx.com|221978|155 Georgia Tech Sta|382 Ferst Dr|Atlanta|GA|30364|USA|222000||||
14988649.89|0.001498863|Institution 13|real_email_for_shareholder_communication@gmx.com|231978|156 Georgia Tech Sta|383 Ferst Dr|Atlanta|GA|30365|USA|232000||||
14662833.75|0.001466282|Institution 14|real_email_for_shareholder_communication@gmx.com|241978|157 Georgia Tech Sta|384 Ferst Dr|Atlanta|GA|30366|USA|242000||||
11620847.63|0.001162084|Institution 15|real_email_for_shareholder_communication@gmx.com|251978|158 Georgia Tech Sta|385 Ferst Dr|Atlanta|GA|30367|USA|252000||||
11468253.97|0.001146824|Institution 16|real_email_for_shareholder_communication@gmx.com|261978|159 Georgia Tech Sta|386 Ferst Dr|Atlanta|GA|30368|USA|262000||||
11467995.58|0.001146798|Institution 17|real_email_for_shareholder_communication@gmx.com|271978|160 Georgia Tech Sta|387 Ferst Dr|Atlanta|GA|30369|USA|272000||||
11000000|0.001099999|Institution 18|real_email_for_shareholder_communication@gmx.com|281978|161 Georgia Tech Sta|388 Ferst Dr|Atlanta|GA|30370|USA|282000||||
11000000|0.001099999|Institution 19|real_email_for_shareholder_communication@gmx.com|291978|162 Georgia Tech Sta|389 Ferst Dr|Atlanta|GA|30371|USA|292000||||
11000000|0.001099999|Institution 20|real_email_for_shareholder_communication@gmx.com|2101978|163 Georgia Tech Sta|390 Ferst Dr|Atlanta|GA|30372|USA|2102000||||
10638297.87|0.001063829|Institution 21|real_email_for_shareholder_communication@gmx.com|2111978|164 Georgia Tech Sta|391 Ferst Dr|Atlanta|GA|30373|USA|2112000||||
0.0764915|7.65E-12|Institution 22|real_email_for_shareholder_communication@gmx.com|2121978|165 Georgia Tech Sta|392 Ferst Dr|Atlanta|GA|30374|USA|2122000||||
6000000.017|0.000599999|Institution 23|real_email_for_shareholder_communication@gmx.com|2131978|166 Georgia Tech Sta|393 Ferst Dr|Atlanta|GA|30375|USA|2132000||||
10000000|0.000999999|Institution 24|real_email_for_shareholder_communication@gmx.com|2141978|167 Georgia Tech Sta|394 Ferst Dr|Atlanta|GA|30376|USA|2142000||||
10000000|0.000999999|Institution 25|real_email_for_shareholder_communication@gmx.com|2151978|168 Georgia Tech Sta|395 Ferst Dr|Atlanta|GA|30377|USA|2152000||||
0|0|Institution 26|real_email_for_shareholder_communication@gmx.com|2161978|169 Georgia Tech Sta|396 Ferst Dr|Atlanta|GA|30378|USA|2162000||||
9405972|0.000940596|Institution 27|real_email_for_shareholder_communication@gmx.com|2171978|170 Georgia Tech Sta|397 Ferst Dr|Atlanta|GA|30379|USA|2172000||||
