Blockchain Address,Institution Name,First Name,Middle Name,Last Name,Suffix,Address,City,State/Province,Area Code,SSN,EIN,TIN,DL License #,Passport #,Other ID Card #,Onboarded Date,KYC Report Information,Email
GBT5KYTYHTUORGZETT4ELIJND2ANSKNNML4ZJ3DU2N6MQPI72G5BND5Y,Cede & Co.,,,,,"120 Somewhere Street, 350 Fet Dr",,,,*******,*******,,,,,,,
GBUJ7ZFNCRAS5UXM4YNC4LZ5ESYIRVFQLB5BAB5FEW5AWCYU3Y7D3C2R,Hillhouse Capital Advisors Ltd.,,,,,"121 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GDKN6G6VPRKJ7VJ64TI2K237RUPBKCJTYXPNZKG2RY3BZMMJX5ZMCIA4,Morgan Stanley,,,,,"122 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GDPJE3OTMDBNAKG6N2JNM5BS3U3JTWSVVGDTJETODHJH7KX3SD2LPOTG,Credit Suisse Ag/,,,,,"123 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GDOTPCEAEUTWRPIX5ZDIWFAHMJDTPAFT2I5COF2SIAEZ7EVSHG55Y7IA,"Goldman Sachs Group, Inc.",,,,,"124 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GAIAD7Q3B4QL6FEZJGXDBLT3XN256QEZGWEFQL3HVX3UF6TKN44LBXXT,UBS Group AG,,,,,"125 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GBZBBXQ2XKNR5X3PNOALLLSH5Y5U46EX4GRTTMQO6ZJVFBZLSWVMPHSR,Nomura Holdings Inc.,,,,,"126 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GBH2JOL2OFN7HFEF6HYIL5Z6IXVBMUAM2U5PTIKVGX7UBKOMAE3T3D7P,Blackrock Inc.,,,,,"127 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GBLUTPRUTI73G5E2M4GXN5IGTPREO3X2PPX6UFWJMZEUHBIFMD2DMXVN,"Vanguard Group, Inc. (The)",,,,,"128 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GAMBOW3VCSZNSERW3SFUR3LADVKNIQK3HZAWJEGIACMITXJTWGRZIM2B,Canada Pension Plan Investment Board,,,,,"129 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GDH6H7NKI4Z572SELNK65RABNQCJCIZE4TWFTUUCV5CDET4C62BHLU5C,Bank of America Corporation,,,,,"130 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GALHMY7IIWNDDJQYH5SZ2GEKFGKYLBY3GRRNIKITGECOAEE2ZZ2Y7LNG,Vanguard International Stock Index-Total Intl Stock Indx,,,,,"131 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GD3FPPINEBIVN3DAORXKBI2QA6OCAQWUO7TUONAXUMUG37HGORDJEEV2,Vanguard International Stock Index-Emerging Markets Stk,,,,,"132 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GAK6MDFNACRLGRB3YSJLJ62WRYQ4ONSJ6S6PCXKIEP74BIFU5PGYR5SP,KraneShares CSI China Internet ETF,,,,,"133 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GC3UU5AK5TPHX7DFBYZGDM5XTALTBJEJY2JOYJ5WGKNSYFSQDLQFHT5D,iShares Core MSCI Emerging Markets ETF,,,,,"134 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GBKTIF47XJ3KT2FHJ7E3LSMSDVSSTUHQAM5HLV3NKN2L26TIE4TDCICH,iShares MSCI Emerging Markets ETF,,,,,"135 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GCEKBTMUN6N6OJF3B73VLSGL5X3Z6BGHYIWV4ZW3EDKBCNZEXAODQDVY,Delaware Group Global & International Funds-Emerging Markets Fd,,,,,"136 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GAKAKHV2FNOSUKSWLHSAS6G5EBQV6YKS24LQLBKJZACVEH73BK72QQCS,iShares MSCI China ETF,,,,,"137 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GDWZ363ZRBFNWPY3NIG4GTAHSS6YUZZMDIXJ42GG42T3JJKRCTILSMAQ,Amplify Online Retail ETF,,,,,"138 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GBBT2FUAXSEEHMPQRYNTBYGVBM7CIHE34IBHNXJNSCLVOFZJ4ZRS4BKC,Vanguard Intl Equity Index Fds-FTSE All World ex U.S. Index Fund,,,,,"139 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GCYK756PQQ55EVWDI3QQIXBKM26CWSZQHA3VUV2CMX6SZEQR7TY7VC7I,Wells Fargo Emerging Markets Equity Fd,,,,,"140 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GA2CG56MOKQTRMZ6DWEXIOTE4AZXAO23URNPUYFVGOVFJGEJKWPIZHQA,Brokerage 1,,,,,"141 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GDTD5INMAKQNSIJG46RHOTYK3FSLYZI34ZCC2MLHYZA6DOR5OSCIB35M,Brokerage 2,,,,,"142 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
GD2Z7MPNQ7LIAOOAEWK4ZO6GEM2DQBO62FMF72ZKFLISUDRIQP5SVNBL,Brokerage 3,,,,,"143 Somewhere Street, Ferst Drive, Yatta Yattaland, 30332, US",,,,,,,,,,,,
