Shares as of 2021-07-10,Percent of Total Shares,Registration,Email,Date of Birth / Organization,Address,Address Extra,City,State,Postal Code,Country,Onboarded Date,Issue Date of Security,Cancellation Date of Security,Restricted Shares Notes
2000.0,1.99999980000002e-06,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/3/1978,368 Georgia Tech Sta,595 Ferst Dr,Atlanta,GA,30577,USA,9/2/2000,1/1/2018,,RESTRICTED MARK: Vested until 2022
2000.0,1.99999980000002e-06,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/4/1978,369 Georgia Tech Sta,596 Ferst Dr,Atlanta,GA,30578,USA,9/3/2000,1/2/2018,,RESTRICTED MARK: Vested until 2023
2000.0,1.99999980000002e-06,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/5/1978,370 Georgia Tech Sta,597 Ferst Dr,Atlanta,GA,30579,USA,9/4/2000,1/3/2018,,RESTRICTED MARK: Vested until 2024
2000.0,1.99999980000002e-06,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/6/1978,371 Georgia Tech Sta,598 Ferst Dr,Atlanta,GA,30580,USA,9/5/2000,1/4/2018,,RESTRICTED MARK: Vested until 2025
2000.0,1.99999980000002e-06,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/7/1978,372 Georgia Tech Sta,599 Ferst Dr,Atlanta,GA,30581,USA,9/6/2000,1/5/2018,,RESTRICTED MARK: Vested until 2026
6944743984.601246,6.944743290126917,Cede & Co.,real_email_for_shareholder_communication@gmx.com,1/1/1978,123 Georgia Tech Sta,350 Ferst Dr,Atlanta,GA,30332,USA,1/1/2000,,,
816533054.5990319,0.8165329729457347,Hillhouse Capital Advisors Ltd.,real_email_for_shareholder_communication@gmx.com,1/2/1978,124 Georgia Tech Sta,351 Ferst Dr,Atlanta,GA,30333,USA,1/2/2000,,,
140000049.9673779,0.1400000359673743,Morgan Stanley,real_email_for_shareholder_communication@gmx.com,1/3/1978,125 Georgia Tech Sta,352 Ferst Dr,Atlanta,GA,30334,USA,1/3/2000,,,
253939120.917372,0.25393909552346244,Credit Suisse Ag,real_email_for_shareholder_communication@gmx.com,1/4/1978,126 Georgia Tech Sta,353 Ferst Dr,Atlanta,GA,30335,USA,1/4/2000,,,
107433962.8257979,0.1074339520824027,"Goldman Sachs Group, Inc.",real_email_for_shareholder_communication@gmx.com,1/5/1978,127 Georgia Tech Sta,354 Ferst Dr,Atlanta,GA,30336,USA,1/5/2000,,,
100909999.9800725,0.10090998988907351,UBS Group AG,real_email_for_shareholder_communication@gmx.com,1/6/1978,128 Georgia Tech Sta,355 Ferst Dr,Atlanta,GA,30337,USA,1/6/2000,,,
100000000.0,0.099999990000001,Nomura Holdings Inc.,real_email_for_shareholder_communication@gmx.com,1/7/1978,129 Georgia Tech Sta,356 Ferst Dr,Atlanta,GA,30338,USA,1/7/2000,,,
87319314.7489998,0.0873193060170692,Blackrock Inc.,real_email_for_shareholder_communication@gmx.com,1/8/1978,130 Georgia Tech Sta,357 Ferst Dr,Atlanta,GA,30339,USA,1/8/2000,,,
77822584.4146065,0.07782257663234883,"Vanguard Group, Inc. (The)",real_email_for_shareholder_communication@gmx.com,1/9/1978,131 Georgia Tech Sta,358 Ferst Dr,Atlanta,GA,30340,USA,1/9/2000,,,
71794871.7948717,0.07179486461538524,Canada Pension Plan Investment Board,real_email_for_shareholder_communication@gmx.com,1/10/1978,132 Georgia Tech Sta,359 Ferst Dr,Atlanta,GA,30341,USA,1/10/2000,,,
71672988.1237985,0.0716729809565004,Bank of America Corporation,real_email_for_shareholder_communication@gmx.com,1/11/1978,133 Georgia Tech Sta,360 Ferst Dr,Atlanta,GA,30342,USA,1/11/2000,,,
69000000.0,0.06899999310000068,Vanguard International Stock Index-Total Intl Stock Indx,real_email_for_shareholder_communication@gmx.com,1/12/1978,134 Georgia Tech Sta,361 Ferst Dr,Atlanta,GA,30343,USA,1/12/2000,,,
27206696.666805,0.027206693946135604,Vanguard International Stock Index-Emerging Markets Stk,real_email_for_shareholder_communication@gmx.com,1/13/1978,135 Georgia Tech Sta,362 Ferst Dr,Atlanta,GA,30344,USA,1/13/2000,,,
59317211.8999289,0.059317205968208296,KraneShares CSI China Internet ETF,real_email_for_shareholder_communication@gmx.com,1/14/1978,136 Georgia Tech Sta,363 Ferst Dr,Atlanta,GA,30345,USA,1/14/2000,,,
55000000.0,0.05499999450000055,iShares Core MSCI Emerging Markets ETF,real_email_for_shareholder_communication@gmx.com,1/15/1978,137 Georgia Tech Sta,364 Ferst Dr,Atlanta,GA,30346,USA,1/15/2000,,,
50000000.0,0.0499999950000005,iShares MSCI Emerging Markets ETF,real_email_for_shareholder_communication@gmx.com,1/16/1978,138 Georgia Tech Sta,365 Ferst Dr,Atlanta,GA,30347,USA,1/16/2000,,,
45250000.0,0.04524999547500045,Delaware Group Global & International Funds-Emerging Markets Fd,real_email_for_shareholder_communication@gmx.com,1/17/1978,139 Georgia Tech Sta,366 Ferst Dr,Atlanta,GA,30348,USA,1/17/2000,,,
43000000.0,0.04299999570000043,iShares MSCI China ETF,real_email_for_shareholder_communication@gmx.com,1/18/1978,140 Georgia Tech Sta,367 Ferst Dr,Atlanta,GA,30349,USA,1/18/2000,,,
32217605.9738696,0.032217602752109324,Amplify Online Retail ETF,real_email_for_shareholder_communication@gmx.com,1/19/1978,141 Georgia Tech Sta,368 Ferst Dr,Atlanta,GA,30350,USA,1/19/2000,,,
34995692.4936609,0.034995688994092,Vanguard Intl Equity Index Fds-FTSE All World ex U.S. Index Fund,real_email_for_shareholder_communication@gmx.com,1/20/1978,142 Georgia Tech Sta,369 Ferst Dr,Atlanta,GA,30351,USA,1/20/2000,,,
36278556.229436,0.03627855260158074,Wells Fargo Emerging Markets Equity Fd,real_email_for_shareholder_communication@gmx.com,1/21/1978,143 Georgia Tech Sta,370 Ferst Dr,Atlanta,GA,30352,USA,1/21/2000,,,
29100490.1564246,0.029100487246375872,Brokerage 1,real_email_for_shareholder_communication@gmx.com,1/22/1978,144 Georgia Tech Sta,371 Ferst Dr,Atlanta,GA,30353,USA,1/22/2000,,,
28266300.9925807,0.028266298165950884,Brokerage 2,real_email_for_shareholder_communication@gmx.com,1/23/1978,145 Georgia Tech Sta,372 Ferst Dr,Atlanta,GA,30354,USA,1/23/2000,,,
25000000.0,0.02499999750000025,Brokerage 3,real_email_for_shareholder_communication@gmx.com,1/24/1978,146 Georgia Tech Sta,373 Ferst Dr,Atlanta,GA,30355,USA,1/24/2000,,,
24540040.2381054,0.024540037784101625,Brokerage 4,real_email_for_shareholder_communication@gmx.com,1/25/1978,147 Georgia Tech Sta,374 Ferst Dr,Atlanta,GA,30356,USA,1/25/2000,,,
23500000.0,0.023499997650000236,Brokerage 5,real_email_for_shareholder_communication@gmx.com,1/26/1978,148 Georgia Tech Sta,375 Ferst Dr,Atlanta,GA,30357,USA,1/26/2000,,,
22807240.1618819,0.022807237881158113,Brokerage 6,real_email_for_shareholder_communication@gmx.com,1/27/1978,149 Georgia Tech Sta,376 Ferst Dr,Atlanta,GA,30358,USA,1/27/2000,,,
22727272.7272727,0.022727270454545655,HFT 7,real_email_for_shareholder_communication@gmx.com,1/28/1978,150 Georgia Tech Sta,377 Ferst Dr,Atlanta,GA,30359,USA,1/28/2000,,,
21000000.0,0.02099999790000021,Hedge Fund 8,real_email_for_shareholder_communication@gmx.com,1/29/1978,151 Georgia Tech Sta,378 Ferst Dr,Atlanta,GA,30360,USA,1/29/2000,,,
20555555.0992908,0.020555553043735495,Institution 9,real_email_for_shareholder_communication@gmx.com,1/30/1978,152 Georgia Tech Sta,379 Ferst Dr,Atlanta,GA,30361,USA,1/30/2000,,,
19999999.988764,0.0199999979887642,Institution 10,real_email_for_shareholder_communication@gmx.com,1/31/1978,153 Georgia Tech Sta,380 Ferst Dr,Atlanta,GA,30362,USA,1/31/2000,,,
19687500.0,0.019687498031250198,Institution 11,real_email_for_shareholder_communication@gmx.com,2/1/1978,154 Georgia Tech Sta,381 Ferst Dr,Atlanta,GA,30363,USA,2/1/2000,,,
17044265.5935613,0.01704426388913491,Institution 12,real_email_for_shareholder_communication@gmx.com,2/2/1978,155 Georgia Tech Sta,382 Ferst Dr,Atlanta,GA,30364,USA,2/2/2000,,,
14988649.8905263,0.01498864839166146,Institution 13,real_email_for_shareholder_communication@gmx.com,2/3/1978,156 Georgia Tech Sta,383 Ferst Dr,Atlanta,GA,30365,USA,2/3/2000,,,
14662833.7523392,0.01466283228605597,Institution 14,real_email_for_shareholder_communication@gmx.com,2/4/1978,157 Georgia Tech Sta,384 Ferst Dr,Atlanta,GA,30366,USA,2/4/2000,,,
11620847.6276428,0.011620846465558152,Institution 15,real_email_for_shareholder_communication@gmx.com,2/5/1978,158 Georgia Tech Sta,385 Ferst Dr,Atlanta,GA,30367,USA,2/5/2000,,,
11468253.9682539,0.011468252821428616,Institution 16,real_email_for_shareholder_communication@gmx.com,2/6/1978,159 Georgia Tech Sta,386 Ferst Dr,Atlanta,GA,30368,USA,2/6/2000,,,
11467995.5782706,0.011467994431471156,Institution 17,real_email_for_shareholder_communication@gmx.com,2/7/1978,160 Georgia Tech Sta,387 Ferst Dr,Atlanta,GA,30369,USA,2/7/2000,,,
11000000.0,0.01099999890000011,Institution 18,real_email_for_shareholder_communication@gmx.com,2/8/1978,161 Georgia Tech Sta,388 Ferst Dr,Atlanta,GA,30370,USA,2/8/2000,,,
11000000.0,0.01099999890000011,Institution 19,real_email_for_shareholder_communication@gmx.com,2/9/1978,162 Georgia Tech Sta,389 Ferst Dr,Atlanta,GA,30371,USA,2/9/2000,,,
10999999.9994767,0.01099999889947681,Institution 20,real_email_for_shareholder_communication@gmx.com,2/10/1978,163 Georgia Tech Sta,390 Ferst Dr,Atlanta,GA,30372,USA,2/10/2000,,,
10638297.8723404,0.010638296808510719,Institution 21,real_email_for_shareholder_communication@gmx.com,2/11/1978,164 Georgia Tech Sta,391 Ferst Dr,Atlanta,GA,30373,USA,2/11/2000,,,
0.0764915,7.649149235085077e-11,Institution 22,real_email_for_shareholder_communication@gmx.com,2/12/1978,165 Georgia Tech Sta,392 Ferst Dr,Atlanta,GA,30374,USA,2/12/2000,,,
10066516.6667677,0.010066515660116133,Institution 23,real_email_for_shareholder_communication@gmx.com,2/13/1978,166 Georgia Tech Sta,393 Ferst Dr,Atlanta,GA,30375,USA,2/13/2000,,,
10000000.0,0.0099999990000001,Institution 24,real_email_for_shareholder_communication@gmx.com,2/14/1978,167 Georgia Tech Sta,394 Ferst Dr,Atlanta,GA,30376,USA,2/14/2000,,,
10000000.0,0.0099999990000001,Institution 25,real_email_for_shareholder_communication@gmx.com,2/15/1978,168 Georgia Tech Sta,395 Ferst Dr,Atlanta,GA,30377,USA,2/15/2000,,,
0.0,0.0,Institution 26,real_email_for_shareholder_communication@gmx.com,2/16/1978,169 Georgia Tech Sta,396 Ferst Dr,Atlanta,GA,30378,USA,2/16/2000,,,
9405972.0,0.009405971059402895,Institution 27,real_email_for_shareholder_communication@gmx.com,2/17/1978,170 Georgia Tech Sta,397 Ferst Dr,Atlanta,GA,30379,USA,2/17/2000,,,
10647671.2705099,0.01064767020574288,Institution 28,real_email_for_shareholder_communication@gmx.com,2/18/1978,171 Georgia Tech Sta,398 Ferst Dr,Atlanta,GA,30380,USA,2/18/2000,,,
6273815.8082314,0.006273815180849882,Institution 29,real_email_for_shareholder_communication@gmx.com,2/19/1978,172 Georgia Tech Sta,399 Ferst Dr,Atlanta,GA,30381,USA,2/19/2000,,,
7844812.8194492,0.007844812034967997,Institution 30,real_email_for_shareholder_communication@gmx.com,2/20/1978,173 Georgia Tech Sta,400 Ferst Dr,Atlanta,GA,30382,USA,2/20/2000,,,
7348903.9743588,0.007348903239468476,Institution 31,real_email_for_shareholder_communication@gmx.com,2/21/1978,174 Georgia Tech Sta,401 Ferst Dr,Atlanta,GA,30383,USA,2/21/2000,,,
7284002.8188864,0.007284002090486192,Institution 32,real_email_for_shareholder_communication@gmx.com,2/22/1978,175 Georgia Tech Sta,402 Ferst Dr,Atlanta,GA,30384,USA,2/22/2000,,,
7164519.4805192,0.007164518764067323,Institution 33,real_email_for_shareholder_communication@gmx.com,2/23/1978,176 Georgia Tech Sta,403 Ferst Dr,Atlanta,GA,30385,USA,2/23/2000,,,
6590000.0,0.006589999341000066,Institution 34,real_email_for_shareholder_communication@gmx.com,2/24/1978,177 Georgia Tech Sta,404 Ferst Dr,Atlanta,GA,30386,USA,2/24/2000,,,
6589241.616402,0.006589240957477905,Institution 35,real_email_for_shareholder_communication@gmx.com,2/25/1978,178 Georgia Tech Sta,405 Ferst Dr,Atlanta,GA,30387,USA,2/25/2000,,,
6548463.3847517,0.0065484627299054275,Institution 36,real_email_for_shareholder_communication@gmx.com,2/26/1978,179 Georgia Tech Sta,406 Ferst Dr,Atlanta,GA,30388,USA,2/26/2000,,,
6521739.1304347,0.006521738478260853,Institution 37,real_email_for_shareholder_communication@gmx.com,2/27/1978,180 Georgia Tech Sta,407 Ferst Dr,Atlanta,GA,30389,USA,2/27/2000,,,
