Dividends Paid,Registration,Email,Routing # Direct Deposit,Account # Direct Deposit,Card # Card Deposit,Card CVV Card Deposit,Expiration Date Card Deposit,Billing Zip Card Deposit,For Internal Use: Card ID,Address,Address Extra,City,State,Postal Code,Country
57.50,Cede & Co.,real@email.com,622124267,17704816,,,,,,123 Georgia Tech Sta,350 Ferst Dr,Atlanta,GA,30332,USA
23.00,Hillhouse Capital Advisors Ltd.,real@email.com,64103707,2988436518,,,,,,124 Georgia Tech Sta,351 Ferst Dr,Atlanta,GA,30333,USA
23.00,Morgan Stanley,real@email.com,64103707,2991346564,,,,,,125 Georgia Tech Sta,352 Ferst Dr,Atlanta,GA,30334,USA
23.00,Credit Suisse Ag,real@email.com,64103707,2994256610,,,,,,126 Georgia Tech Sta,353 Ferst Dr,Atlanta,GA,30335,USA
23.00,UBS Group AG,real@email.com,64103707,3000076702,,,,,,128 Georgia Tech Sta,355 Ferst Dr,Atlanta,GA,30337,USA
23.00,Nomura Holdings Inc.,real@email.com,64103707,3002986748,,,,,,129 Georgia Tech Sta,356 Ferst Dr,Atlanta,GA,30338,USA
23.00,Blackrock Inc.,real@email.com,64103707,3005896794,,,,,,130 Georgia Tech Sta,357 Ferst Dr,Atlanta,GA,30339,USA
23.00,Canada Pension Plan Investment Board,real@email.com,64103707,3011716886,,,,,,132 Georgia Tech Sta,359 Ferst Dr,Atlanta,GA,30341,USA
23.00,Bank of America Corporation,real@email.com,64103707,3014626932,,,,,,133 Georgia Tech Sta,360 Ferst Dr,Atlanta,GA,30342,USA
22.93,Vanguard International Stock Index-Total Intl Stock Indx,real@email.com,64103707,3017536978,,,,,,134 Georgia Tech Sta,361 Ferst Dr,Atlanta,GA,30343,USA
21.23,Vanguard International Stock Index-Emerging Markets Stk,real@email.com,64103707,3020447024,,,,,,135 Georgia Tech Sta,362 Ferst Dr,Atlanta,GA,30344,USA
20.76,KraneShares CSI China Internet ETF,real@email.com,64103707,3023357070,,,,,,136 Georgia Tech Sta,363 Ferst Dr,Atlanta,GA,30345,USA
46.33,iShares Core MSCI Emerging Markets ETF,real@email.com,64103707,3026267116,,,,,,137 Georgia Tech Sta,364 Ferst Dr,Atlanta,GA,30346,USA
18.35,iShares MSCI Emerging Markets ETF,real@email.com,64103707,3029177162,,,,,,138 Georgia Tech Sta,365 Ferst Dr,Atlanta,GA,30347,USA
18.20,Delaware Group Global & International Funds-Emerging Markets Fd,real@email.com,64103707,3032087208,,,,,,139 Georgia Tech Sta,366 Ferst Dr,Atlanta,GA,30348,USA
17.31,iShares MSCI China ETF,real@email.com,64103707,3034997254,,,,,,140 Georgia Tech Sta,367 Ferst Dr,Atlanta,GA,30349,USA
17.25,Amplify Online Retail ETF,real@email.com,64103707,3037907300,,,,,,141 Georgia Tech Sta,368 Ferst Dr,Atlanta,GA,30350,USA
17.04,Vanguard Intl Equity Index Fds-FTSE All World ex U.S. Index Fund,real@email.com,64103707,3040817346,,,,,,142 Georgia Tech Sta,369 Ferst Dr,Atlanta,GA,30351,USA
14.13,Wells Fargo Emerging Markets Equity Fd,real@email.com,64103707,3043727392,,,,,,143 Georgia Tech Sta,370 Ferst Dr,Atlanta,GA,30352,USA
16.10,Brokerage 1,real@email.com,64103707,3046637438,,,,,,144 Georgia Tech Sta,371 Ferst Dr,Atlanta,GA,30353,USA
15.75,Brokerage 2,real@email.com,64103707,3049547484,,,,,,145 Georgia Tech Sta,372 Ferst Dr,Atlanta,GA,30354,USA
15.45,Brokerage 3,real@email.com,64103707,3052457530,,,,,,146 Georgia Tech Sta,373 Ferst Dr,Atlanta,GA,30355,USA
