Blockchain Address,Shares on Record Date 8/12/21 EoD UTC,Registration,Email,Address,Address Extra,City,State,Postal Code,Country
GBAWMYWRWEX4ZFMACD4O6VHRH7XVINY37UZBMQDYUUPZ64O2AEIKD33W,1014766.849,Bill Pineda,real_email_for_shareholder_communication@gmx.com,222 Georgia Tech Sta,449 Ferst Dr,Atlanta,GA,30431,USA
GBJ52PINC7BQZDG5GBYEY5K6MGAOASBM3WN2Z2ALZUG72AXNC7QAF4PT,10000.00003,Marlin Hoffman,real_email_for_shareholder_communication@gmx.com,223 Georgia Tech Sta,450 Ferst Dr,Atlanta,GA,30432,USA
GDPY35KQXQVXMCZSNGYJBGXRU4NKQLL56JPOAYCCA4RRLX3XHNFE4H6S,10000,Ashlee Bruce,real_email_for_shareholder_communication@gmx.com,224 Georgia Tech Sta,451 Ferst Dr,Atlanta,GA,30433,USA
GDLLDMV4IX3ZZQL3UCF42HNSUTP5IICF5KCHFYNIUDLPROJGFVBWCF36,10000,Chris Joseph,real_email_for_shareholder_communication@gmx.com,225 Georgia Tech Sta,452 Ferst Dr,Atlanta,GA,30434,USA
GATNENKE2JO7S36JFOVCFCMFSXDNEBSZ7X5SPR4LANJTXJMP64BD6WFR,10000,Jacob Bird,real_email_for_shareholder_communication@gmx.com,226 Georgia Tech Sta,453 Ferst Dr,Atlanta,GA,30435,USA
GBBVZR32V2EFVHVZEEUBFGL2YI3NABB7QMKN5DHTLK5GGPOOBH2ZBCBF,10000,Ellen Duncan,real_email_for_shareholder_communication@gmx.com,227 Georgia Tech Sta,454 Ferst Dr,Atlanta,GA,30436,USA
GCDCO3TWVI3JUINDQE3IIYHM3A5EYANJMMRJPOUBABSONRB753AUQRQB,10000,Teddy Howard,real_email_for_shareholder_communication@gmx.com,228 Georgia Tech Sta,455 Ferst Dr,Atlanta,GA,30437,USA
GDSLTT6DFJLXMAZKWQPCFZMDWMYJEPNKIVZS7U2HKR3GPRUPOR356TBC,10000,Vincenzo Donovan,real_email_for_shareholder_communication@gmx.com,229 Georgia Tech Sta,456 Ferst Dr,Atlanta,GA,30438,USA
GCMRTGL3QZN5UDAAHKNCMSTW4TELMCEAQTR32PAGNOOKEARPT54WTITR,110000,Esperanza Monroe,real_email_for_shareholder_communication@gmx.com,230 Georgia Tech Sta,457 Ferst Dr,Atlanta,GA,30439,USA
GDB4JIF2EXMCEQHTIK7MR4INGTC3TEYH5XPCZU4AZEY3BBJILBL6VGNT,10000,Brent Hardin,real_email_for_shareholder_communication@gmx.com,231 Georgia Tech Sta,458 Ferst Dr,Atlanta,GA,30440,USA
GDQ7ZHBNRDLDUMYCBYF4UMXZYN24UWDXKSKGRS7SXJBLFRYIUCWLZZAG,10000,Dollie Murphy,real_email_for_shareholder_communication@gmx.com,232 Georgia Tech Sta,459 Ferst Dr,Atlanta,GA,30441,USA
GD4YE2DQTESW7C42FTDNC2VJAS7LBT5ARTP5OTXTJSGPML3FAGNJHXXW,9968.934444,Mattie Rush,real_email_for_shareholder_communication@gmx.com,233 Georgia Tech Sta,460 Ferst Dr,Atlanta,GA,30442,USA
GBOS3UTNF75U5GZVRDYPTYLGALWL2Z5YWPFWFE6G6XYR4UTYKXDMIOSV,9230.728947,Jerald Collins,real_email_for_shareholder_communication@gmx.com,234 Georgia Tech Sta,461 Ferst Dr,Atlanta,GA,30443,USA
GBJNOAAXHMCJGX6EZR35QRPAWPASPAQ22UMETTI22DYJ35FPU5KALSTM,9024.409741,Kaitlin Kemp,real_email_for_shareholder_communication@gmx.com,235 Georgia Tech Sta,462 Ferst Dr,Atlanta,GA,30444,USA
GCHWTSRC3DETQENW7D4BETIADPUOTP4THXG6K5IKASXOXVNBSIZDWNA4,20145.24169,Latisha Benjamin,real_email_for_shareholder_communication@gmx.com,236 Georgia Tech Sta,463 Ferst Dr,Atlanta,GA,30445,USA
GBQD2STS55FMPLP6SGWOE35AFNBCFF7IO5E34DPSKFFHHT332HBDCDLS,7978.723351,Hilario Mccoy,real_email_for_shareholder_communication@gmx.com,237 Georgia Tech Sta,464 Ferst Dr,Atlanta,GA,30446,USA
GASHMXOSMH6JUDIATTWIY7XJCCXH776RAKHPF2KT6FCY63VSMXTPNANM,7912.371604,Valerie Gould,real_email_for_shareholder_communication@gmx.com,238 Georgia Tech Sta,465 Ferst Dr,Atlanta,GA,30447,USA
