Blockchain Address,Number of Shares Not Yet Claimed on Blockchain,Registration,Email,Date of Birth / Organization,Address,Address Extra,City,State,Postal Code,Country,Onboarded Date,Issue Date of Security,Cancellation Date of Security,"Dividends ('n/a', 'Reinvested: auto', 'Reinvested: manual', 'Cash: direct deposit', 'Cash: virtual card', 'notOnboard/unresponsive')",Restricted Shares Notes
,2000,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/3/1978,368 Georgia Tech Sta,595 Ferst Dr,Atlanta,GA,30577,USA,9/2/2000,1/1/2018,,,RESTRICTED MARK: Vested until 2022
,2000,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/4/1978,369 Georgia Tech Sta,596 Ferst Dr,Atlanta,GA,30578,USA,9/3/2000,1/2/2018,,,RESTRICTED MARK: Vested until 2023
,2000,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/5/1978,370 Georgia Tech Sta,597 Ferst Dr,Atlanta,GA,30579,USA,9/4/2000,1/3/2018,,,RESTRICTED MARK: Vested until 2024
,2000,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/6/1978,371 Georgia Tech Sta,598 Ferst Dr,Atlanta,GA,30580,USA,9/5/2000,1/4/2018,,,RESTRICTED MARK: Vested until 2025
,2000,Mark Mayers,real_email_for_shareholder_communication@gmx.com,9/7/1978,372 Georgia Tech Sta,599 Ferst Dr,Atlanta,GA,30581,USA,9/6/2000,1/5/2018,,,RESTRICTED MARK: Vested until 2026
GBT5KYTYHTUORGZETT4ELIJND2ANSKNNML4ZJ3DU2N6MQPI72G5BND5Y,,Cede & Co.,real_email_for_shareholder_communication@gmx.com,1/1/1978,123 Georgia Tech Sta,350 Ferst Dr,Atlanta,GA,30332,USA,1/1/2000,,,,
GBUJ7ZFNCRAS5UXM4YNC4LZ5ESYIRVFQLB5BAB5FEW5AWCYU3Y7D3C2R,,Hillhouse Capital Advisors Ltd.,real_email_for_shareholder_communication@gmx.com,1/2/1978,124 Georgia Tech Sta,351 Ferst Dr,Atlanta,GA,30333,USA,1/2/2000,,,,
GDKN6G6VPRKJ7VJ64TI2K237RUPBKCJTYXPNZKG2RY3BZMMJX5ZMCIA4,,Morgan Stanley,real_email_for_shareholder_communication@gmx.com,1/3/1978,125 Georgia Tech Sta,352 Ferst Dr,Atlanta,GA,30334,USA,1/3/2000,,,,
GDPJE3OTMDBNAKG6N2JNM5BS3U3JTWSVVGDTJETODHJH7KX3SD2LPOTG,,Credit Suisse Ag,real_email_for_shareholder_communication@gmx.com,1/4/1978,126 Georgia Tech Sta,353 Ferst Dr,Atlanta,GA,30335,USA,1/4/2000,,,,
GDOTPCEAEUTWRPIX5ZDIWFAHMJDTPAFT2I5COF2SIAEZ7EVSHG55Y7IA,,"Goldman Sachs Group, Inc.",real_email_for_shareholder_communication@gmx.com,1/5/1978,127 Georgia Tech Sta,354 Ferst Dr,Atlanta,GA,30336,USA,1/5/2000,,,,
GAIAD7Q3B4QL6FEZJGXDBLT3XN256QEZGWEFQL3HVX3UF6TKN44LBXXT,,UBS Group AG,real_email_for_shareholder_communication@gmx.com,1/6/1978,128 Georgia Tech Sta,355 Ferst Dr,Atlanta,GA,30337,USA,1/6/2000,,,,
GBZBBXQ2XKNR5X3PNOALLLSH5Y5U46EX4GRTTMQO6ZJVFBZLSWVMPHSR,,Nomura Holdings Inc.,real_email_for_shareholder_communication@gmx.com,1/7/1978,129 Georgia Tech Sta,356 Ferst Dr,Atlanta,GA,30338,USA,1/7/2000,,,,
GBH2JOL2OFN7HFEF6HYIL5Z6IXVBMUAM2U5PTIKVGX7UBKOMAE3T3D7P,,Blackrock Inc.,real_email_for_shareholder_communication@gmx.com,1/8/1978,130 Georgia Tech Sta,357 Ferst Dr,Atlanta,GA,30339,USA,1/8/2000,,,,
GBLUTPRUTI73G5E2M4GXN5IGTPREO3X2PPX6UFWJMZEUHBIFMD2DMXVN,,"Vanguard Group, Inc. (The)",real_email_for_shareholder_communication@gmx.com,1/9/1978,131 Georgia Tech Sta,358 Ferst Dr,Atlanta,GA,30340,USA,1/9/2000,,,,
GAMBOW3VCSZNSERW3SFUR3LADVKNIQK3HZAWJEGIACMITXJTWGRZIM2B,,Canada Pension Plan Investment Board,real_email_for_shareholder_communication@gmx.com,1/10/1978,132 Georgia Tech Sta,359 Ferst Dr,Atlanta,GA,30341,USA,1/10/2000,,,,
